288.1236	3150.0441	2098.8323	119.1144	240.0120	273.9189	5137.9508	459.1268	29.6277
164.2313	1798.6861	167.0825	73.0772	194.2649	267.9803	2538.9791	321.2967	254.8111
156.2832	123.7978	542.9190	32.6479	139.0795	227.5939	761.7744	1478.4187	891.9324
226.8005	3278.2198	2344.9797	76.2847	228.9084	267.6824	2076.9209	541.2655	31.8784
179.7746	320.5200	462.7053	91.7647	227.7256	238.4166	3168.1023	761.0838	621.6421
82.5969	2025.8030	2779.6001	168.8518	194.2598	225.8754	7296.0334	242.4508	263.2716
384.9377	3108.7491	3444.3132	156.4021	168.8246	174.4950	5927.9616	224.9020	85.7989
148.5505	328.0144	87.4351	73.9298	192.2467	265.0910	2046.1441	671.9930	693.6180
559.5930	5923.3003	3279.1068	148.6262	175.2549	221.0550	5763.0771	125.4829	370.7040
437.6672	727.8577	1149.4751	145.6404	195.6008	226.7570	5383.5204	217.8704	238.8681
152.7356	3463.0184	1314.2460	78.7751	195.7845	222.1451	2384.4642	321.5069	162.2397
131.3513	1821.2911	191.3576	45.6675	165.9556	190.3881	913.5867	325.3873	2760.3663
358.9517	4671.0909	131.9574	92.2103	186.6101	265.6976	3052.7338	235.1154	270.4411
246.2915	7407.5528	379.1556	63.6518	197.2171	210.0416	1617.0812	390.3771	1477.2100
129.4991	341.1779	2004.3230	51.3212	197.0305	206.1434	1236.1952	2177.7456	325.9728
