288.1236	3150.0441	2098.8323	119.1144	240.0120	273.9189	5137.9508	459.1268	29.6277
163.6701	1799.8661	166.4637	72.9938	194.2653	268.0009	2533.0135	321.4962	254.3047
157.9776	117.2804	547.7420	33.0178	138.1335	227.3524	774.9514	1358.4859	899.5532
226.7338	3282.1361	2341.1301	76.2672	228.9279	267.6860	2075.6295	541.7277	31.8339
182.9662	0.0000	780.0338	93.6172	207.5026	234.3616	3277.7439	4242.6099	684.4721
78.3537	2029.9065	2779.7398	167.2254	194.2861	225.8714	7446.3810	244.1274	264.5054
71.9764	6437.5916	428.4320	46.3175	171.9446	176.9353	1014.2149	147.5249	2922.0559
148.5337	328.0572	87.4091	73.9211	192.2475	265.1017	2045.6297	672.1647	693.3091
559.6900	5926.3628	3275.9472	148.6638	175.2595	221.0738	5765.5866	125.5584	370.1014
437.6672	727.8577	1149.4751	145.6404	195.6008	226.7570	5383.5204	217.8704	238.8681
153.7190	3568.2661	1208.0149	78.8027	196.3674	222.7145	2389.3449	328.8597	156.0932
131.2257	1813.1024	199.6719	45.1945	165.9706	188.7356	896.4381	323.7562	2782.7085
203.9419	2574.2336	2383.8245	52.9537	182.3790	192.7898	1116.9804	825.6430	56.8959
248.3250	6527.3808	1257.2942	64.1043	196.3985	205.4668	1634.1941	353.5988	876.2932
129.4991	341.1779	2004.3230	51.3212	197.0305	206.1434	1236.1952	2177.7456	325.9728
